model,prompt_version,category,file,seconds
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,4_md.md,7.617
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,5_md.md,3.994
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,9_md.md,13.848
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,10_md.md,24.5
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,11_md.md,37.873
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,12_md.md,25.247
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,13_md.md,27.359
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,14_md.md,19.725
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,16_md.md,13.369
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,17_md.md,19.433
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,18_md.md,14.233
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,19_md.md,11.204
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,20_md.md,5.506
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,31_md.md,12.871
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,32_md.md,13.724
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,36_md.md,7.174
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,38_md.md,79.606
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,40_md.md,48.472
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,41_md.md,19.886
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,43_md.md,7.112
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,44_md.md,7.435
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,48_md.md,6.111
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,54_md.md,27.035
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,55_md.md,7.685
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,56_md.md,8.408
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,57_md.md,12.625
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,61_md.md,6.8
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,62_md.md,25.356
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,63_md.md,8.841
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,64_md.md,31.1
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,67_md.md,29.702
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,69_md.md,7.079
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,70_md.md,18.168
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,71_md.md,17.345
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,72_md.md,20.804
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,73_md.md,11.569
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,85_md.md,5.328
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,86_md.md,18.373
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,88_md.md,22.258
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,93_md.md,26.004
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,94_md.md,19.499
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,99_md.md,6.076
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,100_md.md,14.445
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,101_md.md,23.047
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,102_md.md,9.871
deepseek-v3.2,anchor_v3,1_长篇结构化应用文档,103_md.md,29.113
