file,category,model,prompt_version,score_rate,omission_rate
4_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5625,0.375
5_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.8125,0.125
9_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.8125,0.0
10_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.375,0.375
11_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.6875,0.25
12_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.4375,0.375
13_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5625,0.25
14_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5625,0.25
16_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.3125,0.625
17_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.625,0.25
18_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.9375,0.0
19_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.4375,0.25
20_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.25,0.5
31_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.625,0.25
32_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.75,0.125
36_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.75,0.25
38_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.4375,0.375
40_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.4375,0.25
41_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.625,0.375
43_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.375,0.625
44_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.625,0.375
48_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.6875,0.125
54_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.75,0.0
55_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5,0.25
56_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.4375,0.5
57_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.625,0.25
61_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5625,0.375
62_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5625,0.125
63_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5,0.5
64_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.625,0.25
67_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.375,0.5
69_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5625,0.125
