model,prompt_version,category,file,seconds
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,4_md.md,7.288
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,5_md.md,1.707
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,9_md.md,19.301
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,10_md.md,33.817
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,11_md.md,26.73
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,12_md.md,30.617
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,13_md.md,74.009
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,14_md.md,7.983
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,16_md.md,26.701
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,17_md.md,33.972
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,18_md.md,79.93
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,19_md.md,13.139
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,20_md.md,8.655
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,31_md.md,20.982
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,32_md.md,34.114
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,36_md.md,14.444
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,38_md.md,19.006
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,40_md.md,17.39
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,41_md.md,49.655
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,43_md.md,4.245
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,44_md.md,4.389
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,48_md.md,14.237
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,54_md.md,24.478
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,55_md.md,6.112
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,56_md.md,7.654
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,57_md.md,9.626
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,61_md.md,3.133
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,62_md.md,8.567
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,63_md.md,3.428
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,64_md.md,14.723
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,67_md.md,22.185
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,69_md.md,4.761
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,70_md.md,12.351
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,71_md.md,24.322
