model,prompt_version,category,file,seconds
qwen3.5-27b,baseline,1_长篇结构化应用文档,4_md.md,5.404
qwen3.5-27b,baseline,1_长篇结构化应用文档,5_md.md,2.476
qwen3.5-27b,baseline,1_长篇结构化应用文档,9_md.md,8.368
qwen3.5-27b,baseline,1_长篇结构化应用文档,10_md.md,9.911
qwen3.5-27b,baseline,1_长篇结构化应用文档,11_md.md,14.649
qwen3.5-27b,baseline,1_长篇结构化应用文档,12_md.md,30.9
qwen3.5-27b,baseline,1_长篇结构化应用文档,13_md.md,15.946
qwen3.5-27b,baseline,1_长篇结构化应用文档,14_md.md,7.818
qwen3.5-27b,baseline,1_长篇结构化应用文档,16_md.md,20.0
qwen3.5-27b,baseline,1_长篇结构化应用文档,17_md.md,9.209
qwen3.5-27b,baseline,1_长篇结构化应用文档,18_md.md,14.47
qwen3.5-27b,baseline,1_长篇结构化应用文档,19_md.md,8.815
qwen3.5-27b,baseline,1_长篇结构化应用文档,20_md.md,2.46
qwen3.5-27b,baseline,1_长篇结构化应用文档,31_md.md,8.17
qwen3.5-27b,baseline,1_长篇结构化应用文档,32_md.md,11.368
qwen3.5-27b,baseline,1_长篇结构化应用文档,36_md.md,2.561
qwen3.5-27b,baseline,1_长篇结构化应用文档,38_md.md,15.862
qwen3.5-27b,baseline,1_长篇结构化应用文档,40_md.md,9.79
qwen3.5-27b,baseline,1_长篇结构化应用文档,41_md.md,4.691
qwen3.5-27b,baseline,1_长篇结构化应用文档,43_md.md,2.267
qwen3.5-27b,baseline,1_长篇结构化应用文档,44_md.md,1.498
qwen3.5-27b,baseline,1_长篇结构化应用文档,48_md.md,1.417
qwen3.5-27b,baseline,1_长篇结构化应用文档,54_md.md,14.925
qwen3.5-27b,baseline,1_长篇结构化应用文档,55_md.md,6.618
qwen3.5-27b,baseline,1_长篇结构化应用文档,56_md.md,7.399
qwen3.5-27b,baseline,1_长篇结构化应用文档,57_md.md,9.46
qwen3.5-27b,baseline,1_长篇结构化应用文档,61_md.md,2.3
