file,category,model,prompt_version,score_rate,omission_rate
4_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5625,0.25
5_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.4375,0.25
9_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.8125,0.0
10_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5625,0.25
11_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.375,0.5
12_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.0625,0.875
13_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.375,0.5
14_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.4375,0.5
16_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.375,0.25
17_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.3125,0.5
18_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.75,0.125
19_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.375,0.375
20_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.3125,0.625
31_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.625,0.25
32_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5625,0.375
36_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5,0.5
38_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.9375,0.0
40_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.4375,0.5
41_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5,0.5
43_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.625,0.25
44_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5,0.5
48_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.75,0.25
54_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.4375,0.5
55_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.4375,0.375
56_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.75,0.125
57_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.6875,0.25
61_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.8125,0.125
62_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.6875,0.125
63_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5,0.375
64_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.6875,0.125
67_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.3125,0.375
69_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5,0.25
70_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.6875,0.125
71_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.3125,0.625
72_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.875,0.125
73_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5625,0.375
85_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.375,0.375
86_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.25,0.75
88_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5,0.375
93_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.25,0.75
94_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.625,0.25
99_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.75,0.125
100_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.3125,0.5
101_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5625,0.25
102_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5,0.375
103_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.375,0.5
104_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5625,0.375
107_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.75,0.25
115_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.75,0.0
116_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.625,0.125
120_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5,0.25
121_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.6875,0.25
122_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.4375,0.375
123_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.75,0.125
124_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.375,0.375
125_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.375,0.5
126_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.625,0.125
127_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.4375,0.5
128_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.6875,0.25
129_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.625,0.25
133_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.8125,0.125
134_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5625,0.125
136_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.1875,0.625
137_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.375,0.375
142_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.75,0.0
147_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.625,0.25
148_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5625,0.375
149_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.6875,0.125
151_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.4375,0.25
153_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.4375,0.375
154_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.125,0.75
156_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.8125,0.0
157_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.6875,0.0
158_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.6875,0.125
159_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5,0.25
161_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.0,1.0
162_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.75,0.0
163_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5,0.375
164_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5625,0.375
166_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.25,0.625
167_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.6875,0.25
168_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5625,0.25
169_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5,0.375
170_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.375,0.375
171_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.75,0.25
174_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.75,0.125
175_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.1875,0.625
176_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.375,0.25
177_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5625,0.25
179_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.3125,0.5
180_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.4375,0.375
186_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5,0.25
187_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.4375,0.5
189_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.375,0.5
190_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.5625,0.25
191_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.625,0.125
192_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.25,0.625
193_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.375,0.375
194_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.25,0.625
195_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.1875,0.75
198_md.md,1_长篇结构化应用文档,qwen3.5-27b,anchor_v3,0.75,0.125
25_md.md,2_学术论文与专业文献,qwen3.5-27b,anchor_v3,0.6875,0.125
27_md.md,2_学术论文与专业文献,qwen3.5-27b,anchor_v3,0.125,0.75
28_md.md,2_学术论文与专业文献,qwen3.5-27b,anchor_v3,0.6875,0.125
29_md.md,2_学术论文与专业文献,qwen3.5-27b,anchor_v3,0.625,0.375
30_md.md,2_学术论文与专业文献,qwen3.5-27b,anchor_v3,0.6875,0.0
33_md.md,2_学术论文与专业文献,qwen3.5-27b,anchor_v3,0.5,0.25
60_md.md,2_学术论文与专业文献,qwen3.5-27b,anchor_v3,0.3125,0.5
105_md.md,2_学术论文与专业文献,qwen3.5-27b,anchor_v3,0.625,0.25
143_md.md,2_学术论文与专业文献,qwen3.5-27b,anchor_v3,0.75,0.25
150_md.md,2_学术论文与专业文献,qwen3.5-27b,anchor_v3,0.5,0.25
145_md.md,3_二维表格与日程数据,qwen3.5-27b,anchor_v3,0.5,0.5
160_md.md,3_二维表格与日程数据,qwen3.5-27b,anchor_v3,0.5625,0.375
165_md.md,3_二维表格与日程数据,qwen3.5-27b,anchor_v3,0.6875,0.25
21_md.md,6_纯信息罗列清单,qwen3.5-27b,anchor_v3,0.25,0.625
39_md.md,6_纯信息罗列清单,qwen3.5-27b,anchor_v3,0.125,0.75
58_md.md,6_纯信息罗列清单,qwen3.5-27b,anchor_v3,0.6875,0.125
59_md.md,6_纯信息罗列清单,qwen3.5-27b,anchor_v3,0.5,0.375
80_md.md,6_纯信息罗列清单,qwen3.5-27b,anchor_v3,0.8125,0.125
81_md.md,6_纯信息罗列清单,qwen3.5-27b,anchor_v3,0.625,0.375
82_md.md,6_纯信息罗列清单,qwen3.5-27b,anchor_v3,0.6875,0.25
